name,extract_vol,mg_gluta_vol,k_gluta_vol,aa_vol,peg_vol,hepes_vol,trna_vol,coa_vol,nad_vol,camp_vol,folinic_acid_vol,spermidine_vol,pga_vol,nucleo_mix_vol,dna_high_high_vol,dna_high_low_vol,dna_low_high_vol,dna_low_low_vol,water_vol
G22,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0375,0.0375,0.125,0.125,0.0675,0.125,1.75,0.0,0.0,0.0,3.125
G23,3.52,0.25,0.25,0.2625,0.525,0.25,0.0375,0.0125,0.0375,0.0375,0.125,0.125,0.0675,0.125,1.75,0.0,0.0,0.0,3.125
H2,3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0625,0.0125,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1125000000000003
H3,3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0375,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1125000000000003
H4,3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0625,0.0625,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1125000000000003
H5,3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0625,0.0125,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1125000000000003
H6,3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0375,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1125000000000003
H7,3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0625,0.0625,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1125000000000003
H8,3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0625,0.0125,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1125000000000003
H9,3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0375,0.0375,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1125000000000003
H10,3.52,0.125,0.125,0.7875,0.525,0.25,0.0125,0.0625,0.0625,0.0125,0.0125,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.1125000000000003
H11,3.52,0.125,0.125,0.7875,0.525,0.25,0.0625,0.0375,0.0125,0.0125,0.0625,0.0125,0.0675,0.0625,1.75,0.0,0.0,0.0,3.0875
